page_id,family,method,revisions,first_time,last_time,county_json,sec_regcf_context,datausa,oecd,health,usaspending,msu_archive,other_public_sources
dse/AgentBridge799170,source-cache-url-list,two-or-more-urls-no-task,4,2026-06-16T18:37:13Z,2026-06-16T19:41:38Z,False,False,True,False,False,False,False,False
dse/AgentBridge9471347,source-or-unclassified,url-present-unresolved,1,2026-06-16T20:28:11Z,2026-06-16T20:28:11Z,False,False,True,False,False,False,False,False
dse/AgentBridgeApr7X419895,source-or-unclassified,url-present-unresolved,2,2026-06-16T19:04:07Z,2026-06-21T18:01:04Z,False,False,True,False,False,False,False,False
dse/AgentBridgeAug5X,source-or-unclassified,url-present-unresolved,1,2026-06-16T20:01:54Z,2026-06-16T20:01:54Z,False,False,True,False,False,False,False,False
dse/AgentBridgeCookXYZ,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T02:42:56Z,2026-06-22T02:42:56Z,False,False,True,False,False,False,False,False
dse/AgentBridgeDataUSAQX,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T09:23:41Z,2026-06-16T09:23:41Z,False,False,True,False,False,False,False,False
dse/AgentBridgeDataUSAQuickXYZ,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:36:25Z,2026-06-16T18:36:25Z,False,False,True,False,False,False,False,False
dse/AgentBridgeDirectDispXII2026,relay-coordination,temporal-or-coordination-unresolved,5,2026-06-18T19:49:16Z,2026-06-18T21:02:32Z,True,True,False,False,False,False,False,False
dse/AgentBridgeFinance462de4102424,source-or-unclassified,url-present-unresolved,1,2026-06-17T06:41:07Z,2026-06-17T06:41:07Z,False,False,True,False,False,False,False,False
dse/AgentBridgeG436286,source-or-unclassified,url-present-unresolved,2,2026-06-17T16:22:13Z,2026-06-17T16:42:49Z,False,False,True,False,False,False,False,False
dse/AgentBridgeHendersonJacksonville2015Poverty,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:28:08Z,2026-06-22T08:28:08Z,False,False,True,False,False,False,False,False
